OmniMap_IDX,Resource,ResourceDiseaseID,ResourceDiseaseName,OmniDisease_ID,OmniDisease,MCode,DiseasePath,Receptors,ReceptorsStatus
1,JAX,3025,acinar cell carcinoma,,,MD-1679,Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma,,
2,JAX,3025,acinar cell carcinoma,OmniDx_0066,Pancreatic Cancer,MD-2504,Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma / Acinar cell cystadenocarcinoma,,
3,JAX,3025,acinar cell carcinoma,OmniDx_0066,Pancreatic Cancer,MD-2508,Pancreatic (Exocrine) / Epithelial Tumors / Malignant / Acinar cell carcinoma / Mixed acinar-endocrine carcinoma,,
4,JAX,12689,acoustic neuroma,OmniDx_0039,Head and Neck Cancer,MD-1415,Head & Neck / Ear / Tumors of the inner ear / Vestibular schwannoma,,
5,JAX,6367,acral lentiginous melanoma,OmniDx_0005,Melanoma,MD-1579,Melanoma / Melanocytic Tumors / Malignant melanoma / Acral-lentiginous melanoma,,
12,JAX,80202,adenoid cystic carcinoma,OmniDx_0001,Breast Cancer,MD-0327,Breast / Epithelial tumors / Adenoid cystic carcinoma,,
13,JAX,80202,adenoid cystic carcinoma,OmniDx_0010,Ovarian Cancer,MD-0683,Ovary / Miscellaneous tumors / Adenoid cystic carcinoma,,
14,JAX,80202,adenoid cystic carcinoma,OmniDx_0039,Head and Neck Cancer,MD-0779,Salivary Glands / Malignant Epithelial Tumor / Adenoid cystic carcinoma,,
15,JAX,80202,adenoid cystic carcinoma,OmniDx_0039,Head and Neck Cancer,MD-2239,Head & Neck / Oral Cavity and Oropharynx / Salivary gland tumors / Salivary gland carcinomas / Adenoid cystic carcinoma,,
16,JAX,80202,adenoid cystic carcinoma,OmniDx_0023,Cervical Cancer,MD-1199,Cervical / Epithelial tumors / Other epithelial tumors / Adenoid cystic carcinoma,,
17,JAX,80202,adenoid cystic carcinoma,OmniDx_0034,Esophageal Cancer,MD-1266,Esophageal / Epithelial Tumors / Carcinoma / Adenoid cystic carcinoma,,
18,JAX,80202,adenoid cystic carcinoma,OmniDx_0002,Lung Cancer,MD-1460,Lung / Malignant Epithelial / Salivary Gland type carcinoma / Adenoid cystic carcinoma,,
19,JAX,80202,adenoid cystic carcinoma,OmniDx_0024,Uterine Cancer,MD-2586,Other Gynecological / Vagina / Epithelial tumors / Other epithelial tumors / Adenoid cystic carcinoma,,
