GeneSymbol,Marker,ImmunePhenotype,Function,Therapies,DownloadDate,Version,VersionDate
ADORA2A,ADORA2A,Metabolic Immune Escape,Immunosuppressive,taminadenant; AB928; AZD4635; CPI-444; NIR178,01/06/2020,97,01/06/2020
BTLA,BTLA,Checkpoint Blockade (Other),Co-inhibitory,,01/06/2020,97,01/06/2020
C10orf54,VISTA,Checkpoint Blockade (Other),Co-inhibitory,CA-170,01/06/2020,97,01/06/2020
CCL2,CCL2,Myeloid Suppression,Immunosuppressive,,01/06/2020,97,01/06/2020
CCR2,CCR2,Myeloid Suppression,Immunosuppressive,BMS-813160,01/06/2020,97,01/06/2020
CD163,CD163,Myeloid Suppression,Immunosuppressive,,01/06/2020,97,01/06/2020
CD2,CD2,Tumor Infiltrating Lymphocytes (TILs),Cytotoxic T-cells/T-regs,,01/06/2020,97,01/06/2020
CD244,SLAMF4,Tumor Infiltrating Lymphocytes (TILs),NK Cells,,01/06/2020,97,01/06/2020
CD27,CD27,T-cell Primed,Co-stimulatory,Varlilumab,01/06/2020,97,01/06/2020
CD274,PD-L1,Checkpoint Blockade (PD-1/CTLA4),Co-inhibitory,Atezolizumab; Avelumab; Durvalumab; 89Zr-DFO-Atezolizumab; CA-170; CS1001; CX-072; FAZ053; FS118; GS-4224; INCB086550; KN035; LY3300054; LY3434172; M7824; MSB2311,01/06/2020,97,01/06/2020
CD28,CD28,T-cell Primed,Co-stimulatory,,01/06/2020,97,01/06/2020
CD3,CD3,Tumor Infiltrating Lymphocytes (TILs),Cytotoxic T-cells/T-regs,,01/06/2020,97,01/06/2020
CD38,CD38,Other Immunotherapy Markers,Immunostimulatory,Daratumumab; Isatuximab; TAK-573,01/06/2020,97,01/06/2020
CD4,CD4,Tumor Infiltrating Lymphocytes (TILs),Cytotoxic T-cells/T-regs,,01/06/2020,97,01/06/2020
CD40,CD40,T-cell Primed,Co-stimulatory,Selicrelumab; 2141 V-11; ABBV-927; ADC-1013; APX005M; CDX-1140; MEDI5083; SEA-CD40,01/06/2020,97,01/06/2020
CD40LG,CD40LG,T-cell Primed,Co-stimulatory,,01/06/2020,97,01/06/2020
CD68,CD68,Myeloid Suppression,Immunosuppressive,,01/06/2020,97,01/06/2020
