"OmniMap_ID","OmniDisease_ID","OmniDisease","OmniDiseaseType","MCode","DiseasePath","ReportDiseaseName","DownloadDate","Version","VersionDate"
1,"OmniDx_0001","Breast","Solid Tumor",,,"Breast Cancer","10/03/2019",101,"01/14/2020"
2,"OmniDx_0002","Lung","Solid Tumor","MD-0601","Lung / Malignant Epithelial / Small cell carcinoma","Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
3,"OmniDx_0002","Lung","Solid Tumor","MD-1469","Lung / Malignant Epithelial / Small cell carcinoma / Combined small cell carcinoma","Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
4,"OmniDx_0002","Lung","Solid Tumor","MD-0571","Lung / Malignant Epithelial / Adenocarcinoma","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
5,"OmniDx_0002","Lung","Solid Tumor","MD-1475","Lung / Malignant Epithelial / Adenocarcinoma / Invasive","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
6,"OmniDx_0002","Lung","Solid Tumor","MD-2392","Lung / Malignant Epithelial / Adenocarcinoma / Invasive / Acinar type","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
7,"OmniDx_0002","Lung","Solid Tumor","MD-2399","Lung / Malignant Epithelial / Adenocarcinoma / Invasive / Micropapillary type","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
8,"OmniDx_0002","Lung","Solid Tumor","MD-2401","Lung / Malignant Epithelial / Adenocarcinoma / Invasive / Mixed subtypes","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
9,"OmniDx_0002","Lung","Solid Tumor","MD-2408","Lung / Malignant Epithelial / Adenocarcinoma / Invasive / Papillary type","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
10,"OmniDx_0002","Lung","Solid Tumor","MD-1490","Lung / Malignant Epithelial / Adenocarcinoma / Pure bronchioloalveolar (non-invasive)","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
11,"OmniDx_0002","Lung","Solid Tumor","MD-2400","Lung / Malignant Epithelial / Adenocarcinoma / Pure bronchioloalveolar (non-invasive) / Mixed mucinous|non-mucinous or indeterminate","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
12,"OmniDx_0002","Lung","Solid Tumor","MD-2402","Lung / Malignant Epithelial / Adenocarcinoma / Pure bronchioloalveolar (non-invasive) / Mucinous","Non-Small Cell Lung Cancer","10/03/2019",101,"01/14/2020"
